Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,2.671875,2.734375,2.640625,2.734375,2.004407,8492800
1996-01-03,2.734375,2.750000,2.585938,2.601563,1.907049,12528000
1996-01-04,2.609375,2.625000,2.445313,2.492188,1.826873,21673600
1996-01-05,2.472656,2.617188,2.445313,2.593750,1.901323,22104000
1996-01-08,2.585938,2.625000,2.546875,2.550781,1.869825,2376000
1996-01-09,2.570313,2.570313,2.367188,2.375000,1.740970,21417600
1996-01-10,2.343750,2.523438,2.308594,2.390625,1.752424,31032000
1996-01-11,2.406250,2.539063,2.406250,2.515625,1.844054,15171200
1996-01-12,2.515625,2.539063,2.359375,2.375000,1.740970,24736000
1996-01-15,2.390625,2.390625,2.218750,2.242188,1.643614,29424000
1996-01-16,2.265625,2.390625,2.234375,2.375000,1.740970,26371200
1996-01-17,2.351563,2.539063,2.328125,2.515625,1.844054,31552000
1996-01-18,2.523438,2.554688,2.398438,2.539063,1.861235,23241600
1996-01-19,2.578125,2.718750,2.554688,2.687500,1.970046,37392000
1996-01-22,2.687500,2.757813,2.609375,2.726563,1.998680,22272000
1996-01-23,2.687500,2.828125,2.679688,2.773438,2.033041,35382400
1996-01-24,2.796875,2.929688,2.781250,2.867188,2.101763,26753600
1996-01-25,2.882813,2.890625,2.757813,2.796875,2.050221,20363200
1996-01-26,2.796875,2.804688,2.734375,2.750000,2.015860,11142400
1996-01-29,2.742188,2.882813,2.742188,2.859375,2.096037,15560000
1996-01-30,2.851563,2.937500,2.789063,2.898438,2.124671,24436800
1996-01-31,2.890625,2.921875,2.773438,2.796875,2.050221,29036800
1996-02-01,2.796875,2.929688,2.734375,2.882813,2.113217,22739200
1996-02-02,2.984375,3.109375,2.960938,2.984375,2.187667,41913600
1996-02-05,3.046875,3.054688,2.960938,3.023438,2.216301,21379200
1996-02-06,3.031250,3.085938,3.007813,3.054688,2.239209,31539200
1996-02-07,3.031250,3.062500,2.968750,2.984375,2.187667,15115200
1996-02-08,2.984375,3.031250,2.953125,3.000000,2.199119,16755200
