p_b_ratio,p_e_ratio,eps_diluted,next_price
1.66,0.0,0.82,0
1.75,0.0,0.89,2
1.66,0.0,0.83,2
1.64,10.17,0.91,1
2.0,11.86,0.86,0
1.72,10.83,0.52,0
1.19,6.65,0.63,0
1.04,6.47,-0.26,1
0.87,9.4,-0.28,2
1.42,34.85,-0.55,2
2.51,0.0,0.09,0
2.77,0.0,0.07,1
2.49,0.0,-0.22,0
1.74,0.0,-0.11,2
1.49,0.0,-0.44,0
1.73,0.0,-0.45,2
1.27,0.0,0.01,2
1.73,0.0,0.16,0
1.73,0.0,-0.88,1
1.42,0.0,0.53,1
1.48,0.0,-0.72,2
1.86,0.0,0.46,2
3.37,0.0,1.15,2
5.1,51.56,1.21,0
4.75,35.48,1.18,1
2.2,7.69,0.37,2
2.57,9.98,0.05,0
1.73,8.96,-0.54,2
1.23,32.9,-0.05,1
1.6,0.0,-0.03,0
1.13,0.0,-0.54,0
0.78,0.0,-0.74,2
0.67,0.0,-2.49,1
0.88,0.0,-0.42,1
1.05,0.0,-0.4,2
1.45,0.0,-0.09,2
2.22,0.0,0.12,1
2.24,0.0,0.12,1
2.26,0.0,0.09,0
1.88,55.75,0.12,2
2.65,41.31,-0.08,0
2.42,74.0,-0.04,1
2.18,180.11,0.03,2
2.84,677.67,0.18,2
5.23,101.19,0.38,0
3.06,38.17,0.18,1
2.24,24.09,0.27,0
1.61,0.0,-1.11,2
1.51,0.0,-1.09,1
1.7,0.0,-0.71,0
1.48,0.0,-3.08,0
1.36,0.0,-0.59,1
1.56,0.0,-1.96,0
2.16,0.0,-0.21,0
1.73,0.0,-2.34,2
0.0,0.0,-0.66,2
0.0,0.0,-0.49,2
0.0,0.0,-0.18,2
0.0,0.0,1.61,1
8.93,30.61,0.35,0
7.43,6.8,-0.06,0
6.21,4.01,-0.17,2
8.44,4.39,0.49,1
5.72,13.87,0.68,0
2.73,5.99,0.13,2
3.0,10.38,-0.8,0
4.51,0.0,0.05,0
2.91,0.0,-0.21,0
1.88,0.0,-0.64,1
3.47,0.0,-0.19,2
5.76,0.0,-0.1,1
7.9,0.0,0.06,1
5.97,0.0,0.12,1
5.25,0.0,-0.03,1
6.09,81.6,-0.05,0
6.46,42.0,0.02,0
4.35,50.0,-0.47,1
11.46,0.0,-0.23,0
128.5,0.0,-0.23,0
0.0,0.0,-0.25,2
0.0,0.0,-0.13,1
0.0,0.0,-0.14,2
0.0,0.0,0.08,2
0.0,0.0,-0.5,2
28.36,0.0,-0.08,0
28.58,0.0,-0.02,1
19.91,0.0,0.19,2
17.47,0.0,0.0,0
18.26,0.0,1.29,2
19.82,0.0,1.19,1
20.98,0.0,1.32,2
11.93,80.35,1.95,1
12.0,71.42,2.33,1
9.02,58.01,2.36,2
8.67,49.02,3.18,2
8.37,45.2,2.93,1
8.35,45.67,3.38,0
7.66,41.74,4.12,2
6.73,36.66,3.92,0
5.68,30.76,4.06,0
3.71,24.92,4.49,2
4.17,28.78,4.66,2
4.52,31.29,5.13,2
5.08,28.17,6.06,0
4.34,23.73,5.71,2
3.81,21.08,6.72,2
4.25,23.36,7.82,1
4.15,22.7,5.51,0
3.52,20.73,7.68,1
3.47,20.17,8.33,2
3.45,20.75,8.75,0
3.2,18.33,8.42,2
3.35,19.67,6.53,1
3.54,23.82,9.94,2
3.7,25.1,9.54,1
3.75,25.61,8.75,2
4.47,30.87,5.04,1
4.0,28.81,4.99,1
4.09,30.32,4.09,1
3.48,25.4,5.2,1
3.42,25.63,4.93,2
3.65,28.17,5.73,2
4.24,32.54,5.1,1
4.08,32.4,7.0,2
4.09,30.74,7.25,1
4.05,29.24,7.73,1
4.31,29.6,5.01,1
0.0,0.0,0.0,2
6.32,0.0,0.0,2
5.19,0.0,0.0,2
5.46,0.0,0.0,2
5.64,0.0,0.0,1
10.84,41.86,0.0,2
8.98,32.33,0.0,2
10.22,35.92,0.0,1
10.68,35.87,0.0,2
11.52,48.0,0.0,2
14.79,49.52,0.0,1
15.43,52.21,0.0,2
15.31,52.44,0.5,2
15.97,60.83,0.0,1
16.03,62.99,0.62,2
18.15,68.34,0.35,1
16.98,66.33,0.39,1
16.46,64.44,0.4,2
16.8,67.88,0.44,0
15.57,65.43,0.43,0
10.38,47.25,0.43,0
9.22,41.86,0.4,1
6.21,31.24,0.44,2
7.03,36.1,0.01,0
6.98,46.32,0.23,2
6.71,58.64,0.49,0
5.44,47.81,0.28,0
5.04,34.65,0.5,1
4.91,29.47,0.26,1
4.61,28.27,0.17,1
4.92,30.33,0.24,0
4.12,32.69,0.12,2
4.1,40.03,0.25,1
4.06,37.25,0.23,1
4.04,38.19,0.32,1
5.85,27.59,0.23,1
5.73,24.36,0.34,1
5.84,23.41,0.29,1
6.36,22.7,0.29,0
6.0,19.6,0.28,2
6.19,20.73,0.35,1
7.76,24.61,0.5,1
8.02,21.12,0.31,1
8.94,20.9,0.45,1
8.49,17.85,0.47,1
7.35,17.12,0.45,1
6.55,13.9,0.48,0
4.62,9.59,0.33,2
5.12,12.29,0.34,1
5.43,14.9,0.4,2
5.82,16.25,0.45,0
5.22,14.13,0.51,1
4.6,11.7,0.62,2
4.8,11.35,0.77,1
4.69,11.52,0.61,1
3.98,10.06,0.69,1
3.81,9.65,0.68,2
3.88,10.75,0.6,1
3.75,11.13,-0.06,1
3.8,15.04,0.53,1
3.17,15.01,0.72,2
3.48,16.38,0.57,1
3.55,13.03,0.62,2
3.71,14.15,0.68,1
3.82,15.25,0.55,2
4.07,16.85,0.54,0
3.93,17.77,0.61,1
4.02,18.6,-0.39,1
4.4,29.97,0.57,2
4.54,31.26,0.47,1
4.71,35.3,0.44,2
5.9,25.98,0.6,2
7.2,29.53,0.61,1
7.63,29.81,0.84,2
0.0,0.0,2.07,2
4.3,0.0,0.99,2
4.23,0.0,0.0,1
3.59,0.0,1.51,2
4.48,0.0,1.71,2
6.13,0.0,1.02,2
7.81,0.0,1.25,0
7.74,18.31,1.51,0
3.98,9.24,0.87,1
2.88,7.19,0.27,0
2.08,6.33,0.1,2
2.3,10.03,0.1,2
2.83,25.43,0.66,2
3.08,34.74,0.44,1
3.72,37.86,0.33,0
2.51,22.37,0.04,2
2.19,20.41,-0.23,0
2.17,50.62,-0.5,1
2.13,0.0,-0.42,2
3.33,0.0,-0.19,2
4.08,0.0,0.08,0
3.0,0.0,-0.1,2
3.85,0.0,-0.06,0
3.84,0.0,1.19,2
4.47,65.41,0.58,2
4.74,50.25,0.47,1
8.56,64.13,1.12,0
4.72,21.6,0.58,2
3.04,15.61,-0.15,1
3.33,20.65,-0.53,1
3.34,39.41,-0.96,0
2.3,0.0,-0.44,2
2.88,0.0,-0.05,0
2.7,0.0,-0.04,0
1.83,0.0,-0.98,1
1.46,0.0,-0.52,0
1.14,0.0,-1.02,2
1.07,0.0,-0.36,2
1.59,0.0,-0.21,0
1.68,0.0,0.0,2
1.57,0.0,-0.04,0
1.78,0.0,0.13,0
1.46,0.0,0.15,1
1.3,49.67,0.23,1
1.19,23.85,0.17,1
1.07,15.06,-0.2,1
1.19,32.0,0.07,2
1.39,48.78,0.09,2
1.57,115.85,0.27,1
1.55,69.17,0.12,1
1.63,28.8,0.09,0
1.47,27.79,0.15,0
1.46,25.51,-0.07,1
1.23,46.17,-0.29,1
1.12,0.0,-0.21,0
1.21,0.0,-0.34,1
1.0,0.0,-1.01,1
0.85,0.0,-0.3,0
0.84,0.0,-0.45,0
0.42,0.0,-0.91,2
0.43,0.0,-0.97,2
0.66,0.0,-0.36,2
1.1,0.0,-0.1,2
1.41,0.0,0.23,2
1.61,0.0,0.39,1
1.52,62.12,0.92,0
1.07,5.72,0.31,2
0.94,4.1,0.15,2
1.19,5.55,0.07,0
1.18,6.86,0.07,0
0.96,13.73,-0.13,1
0.67,36.06,-0.19,2
0.86,0.0,-0.29,0
0.9,0.0,-0.32,2
0.8,0.0,-0.24,1
0.78,0.0,-0.27,2
0.98,0.0,-0.28,2
1.43,0.0,0.04,2
1.89,0.0,1.49,2
2.0,17.72,0.3,2
2.66,14.89,0.61,2
2.87,10.19,0.68,2
3.41,10.27,0.95,2
3.15,12.43,0.84,0
2.99,10.53,0.78,1
2.43,8.59,0.42,0
1.78,6.83,0.41,1
1.47,6.78,0.19,0
1.06,6.99,-0.09,1
0.96,12.19,-0.21,2
1.22,47.73,-0.17,2
2.83,0.0,0.16,2
1.94,0.0,0.77,2
2.17,50.84,1.4,1
2.07,13.88,2.0,2
0.0,0.0,0.0,2
2.74,0.0,0.0,2
2.86,0.0,0.0,2
3.17,0.0,0.0,2
3.67,0.0,0.0,2
4.21,0.0,0.0,2
5.3,0.0,0.0,2
6.28,27.7,0.0,2
6.56,28.01,0.0,0
5.94,23.09,0.0,1
4.34,18.31,0.0,1
3.68,16.57,0.25,1
3.88,21.75,0.0,0
3.83,32.48,0.56,2
3.33,37.03,0.24,2
3.94,55.6,0.44,2
5.01,58.08,0.33,0
4.68,35.31,0.7,1
4.29,30.13,0.38,0
3.42,21.45,0.52,2
3.14,18.98,0.47,1
3.59,20.1,0.77,1
3.3,18.88,0.44,0
3.97,22.36,0.35,2
3.2,20.06,0.6,2
3.5,22.6,0.48,2
4.02,26.22,0.46,0
4.05,25.69,0.77,1
3.14,28.39,0.57,1
3.15,27.65,0.47,2
3.51,31.31,0.92,2
3.81,20.84,0.66,2
4.16,22.73,0.74,1
4.18,21.89,1.13,1
4.02,20.81,1.21,2
4.24,21.69,0.97,1
4.32,21.61,1.01,1
3.97,18.94,1.29,1
3.9,18.79,1.61,2
3.61,16.92,1.14,1
3.67,17.03,1.24,1
3.41,15.67,1.29,1
3.26,15.2,1.47,2
3.61,17.43,1.28,2
3.93,19.29,0.68,2
3.99,20.03,0.88,2
4.09,18.18,0.71,1
3.96,17.62,0.92,2
4.12,17.53,0.99,0
3.34,15.17,0.8,0
2.91,13.03,0.5,2
2.81,14.37,0.7,1
3.08,18.18,1.04,2
3.2,19.67,0.76,1
3.4,21.45,1.01,1
3.75,20.74,1.05,1
3.52,18.41,1.14,2
3.93,20.03,0.94,1
4.17,20.98,1.08,1
3.96,19.63,1.23,1
4.15,19.61,1.36,2
4.2,19.44,1.0,2
4.69,21.55,1.2,1
4.93,22.83,1.17,1
4.3,20.81,0.42,2
4.65,23.42,0.95,2
5.0,23.23,0.73,2
5.65,24.22,0.59,1
5.85,23.98,0.76,1
5.94,25.63,0.76,2
6.9,27.83,0.74,1
7.02,28.39,0.89,1
6.98,28.83,0.98,1
7.14,28.68,1.34,2
16.07,61.61,0.45,1
7.74,29.64,0.55,0
8.26,27.92,0.49,1
7.65,25.88,0.73,0
7.41,24.36,0.5,2
7.28,23.89,0.68,1
7.12,22.88,0.6,1
7.37,22.18,0.57,2
0.0,0.0,1.42,1
1.85,0.0,1.28,2
1.59,0.0,0.84,2
1.71,22.24,1.27,1
1.85,26.37,1.53,1
1.64,22.68,-0.56,0
1.17,175.92,1.34,1
1.08,148.38,1.08,1
1.14,700.15,1.0,2
1.15,21.44,1.27,2
1.16,22.42,0.81,1
1.18,20.53,0.76,1
1.19,19.13,0.82,1
1.14,17.55,1.11,1
1.19,15.75,1.0,1
1.18,15.11,0.81,2
1.35,16.81,1.02,1
1.38,17.74,1.23,1
1.33,16.53,0.86,1
1.54,16.36,1.1,1
1.59,16.95,1.31,1
1.59,17.1,1.41,1
1.52,15.53,0.76,0
1.42,15.24,1.44,0
1.27,13.46,1.51,0
1.15,0.0,1.17,1
1.27,0.0,1.21,1
1.25,0.0,1.53,2
1.45,11.63,1.53,0
1.48,11.09,2.34,2
1.31,8.55,1.67,1
1.39,9.16,1.27,1
1.45,9.88,1.79,2
1.51,9.25,1.81,0
1.36,9.12,1.85,2
1.46,7.93,1.96,1
1.46,7.94,1.88,1
1.52,8.49,1.82,1
1.67,8.6,2.03,2
1.91,9.74,2.05,2
2.18,11.23,2.14,2
2.39,14.04,2.63,1
2.45,13.53,2.38,1
2.56,13.6,2.26,2
4.3,16.11,2.41,1
4.58,16.75,2.75,1
5.0,16.64,2.75,2
6.13,17.97,3.03,2
6.72,19.0,2.85,1
6.77,19.37,3.35,2
7.86,19.41,3.63,1
7.82,19.46,3.15,2
9.78,0.0,0.18,2
7.5,0.0,0.19,2
8.17,0.0,0.29,2
10.81,0.0,0.39,2
23.36,88.11,0.47,2
24.95,93.85,0.28,1
22.25,81.19,0.35,0
10.07,50.72,0.38,2
11.18,52.24,0.31,1
12.66,63.32,0.39,1
9.92,51.19,0.26,2
13.44,71.06,0.41,0
9.79,48.38,0.16,0
4.82,26.81,0.03,0
2.1,14.06,-0.32,0
2.53,50.46,0.63,2
2.07,24.18,0.12,2
3.42,44.87,0.14,0
2.96,32.26,0.04,2
3.44,23.1,0.13,1
3.77,55.81,0.12,0
2.94,44.79,0.03,1
1.92,39.38,0.15,2
2.86,44.3,0.27,1
3.65,44.32,0.36,2
3.49,31.41,0.41,2
4.17,26.47,0.36,2
5.03,28.33,0.52,2
6.09,31.67,0.24,0
5.24,27.71,0.22,2
5.96,30.8,0.27,1
6.73,35.29,0.42,1
5.64,27.37,0.33,2
6.93,32.27,0.43,2
8.09,34.49,0.38,0
6.79,25.95,0.42,0
4.76,17.18,0.3,0
3.66,13.0,-0.22,0
2.1,11.41,0.11,2
1.64,12.46,-0.27,2
2.19,0.0,-0.37,2
2.51,0.0,-0.19,1
3.56,0.0,0.19,2
3.49,0.0,0.24,1
3.58,0.0,0.23,0
2.48,26.38,-0.25,2
2.18,25.61,0.15,2
3.71,50.0,0.28,0
4.0,52.44,0.22,0
2.97,42.63,0.25,1
2.26,15.32,0.29,1
2.24,14.02,0.18,0
2.2,15.77,0.1,1
1.84,15.57,0.19,1
1.61,15.21,0.28,1
1.63,14.19,0.13,1
1.73,15.52,0.16,1
2.03,16.23,0.2,1
2.04,20.1,0.25,2
2.16,23.5,0.24,1
2.51,22.02,0.22,1
2.32,20.29,0.31,2
2.55,19.37,0.35,1
2.65,18.99,0.24,0
2.48,18.77,0.05,2
3.09,25.2,0.44,1
3.64,27.96,0.34,2
3.77,29.07,0.33,2
