p_b_ratio,p_e_ratio,eps_diluted,next_price
0,0,1.42,1
1.85,0,1.28,2
1.59,0,0.84,2
1.71,22.24,1.27,1
1.85,26.37,1.53,1
1.64,22.68,-0.56,0
1.17,175.92,1.34,1
1.08,148.38,1.08,1
1.14,700.15,1.0,2
1.15,21.44,1.27,2
1.16,22.42,0.81,1
1.18,20.53,0.76,1
1.19,19.13,0.82,1
1.14,17.55,1.11,1
1.19,15.75,1.0,1
1.18,15.11,0.81,2
1.35,16.81,1.02,1
1.38,17.74,1.23,1
1.33,16.53,0.86,1
1.54,16.36,1.1,1
1.59,16.95,1.31,1
1.59,17.1,1.41,1
1.52,15.53,0.76,0
1.42,15.24,1.44,0
1.27,13.46,1.51,0
1.15,0,1.17,1
1.27,0,1.21,1
1.25,0,1.53,2
1.45,11.63,1.53,0
1.48,11.09,2.34,2
1.31,8.55,1.67,1
1.39,9.16,1.27,1
1.45,9.88,1.79,2
1.51,9.25,1.81,0
1.36,9.12,1.85,2
1.46,7.93,1.96,1
1.46,7.94,1.88,1
1.52,8.49,1.82,1
1.67,8.6,2.03,2
1.91,9.74,2.05,2
2.18,11.23,2.14,2
2.39,14.04,2.63,1
2.45,13.53,2.38,1
2.56,13.6,2.26,2
4.3,16.11,2.41,1
4.58,16.75,2.75,1
5,16.64,2.75,2
6.13,17.97,3.03,2
6.72,19,2.85,1
6.77,19.37,3.35,2
7.86,19.41,3.63,1
7.82,19.46,3.15,2
