adj_close,p_b_ratio,p_e_ratio,eps_diluted,next_price
1.418847,9.78,0,0.18,2
1.568454,7.5,0,0.19,2
1.8145799999999999,8.17,0,0.29,2
2.8618240000000004,10.81,0,0.39,2
7.103886999999999,23.36,88.11,0.47,2
9.265941,24.95,93.85,0.28,1
8.79299,22.25,81.19,0.35,0
7.885704,10.07,50.72,0.38,2
12.864212,11.18,52.24,0.31,1
12.210966,12.66,63.32,0.39,1
12.993939,9.92,51.19,0.26,2
20.999714,13.44,71.06,0.41,0
10.943078,9.79,48.38,0.16,0
4.670033,4.82,26.81,0.03,0
3.4469300000000005,2.1,14.06,-0.32,0
3.094824,2.53,50.46,0.63,2
4.311751,2.07,24.18,0.12,2
6.303928,3.42,44.87,0.14,0
5.3124720000000005,2.96,32.26,0.04,2
7.4127529999999995,3.44,23.1,0.13,1
6.896947999999999,3.77,55.81,0.12,0
4.388967,2.94,44.79,0.03,1
4.120255,1.92,39.38,0.15,2
7.07918,2.86,44.3,0.27,1
6.748694,3.65,44.32,0.36,2
8.484513,3.49,31.41,0.41,2
10.36241,4.17,26.47,0.36,2
14.124382,5.03,28.33,0.52,2
19.087839000000002,6.09,31.67,0.24,0
13.676530999999999,5.24,27.71,0.22,2
20.242994,5.96,30.8,0.27,1
18.643076,6.73,35.29,0.42,1
20.317120000000003,5.64,27.37,0.33,2
28.100506,6.93,32.27,0.43,2
31.124296,8.09,34.49,0.38,0
22.840546,6.79,25.95,0.42,0
18.337296,4.76,17.18,0.3,0
10.683629,3.66,13,-0.22,0
6.458361,2.1,11.41,0.11,2
7.384955000000001,1.64,12.46,-0.27,2
10.211067,2.19,0,-0.37,2
12.064254,2.51,0,-0.19,1
12.027191,3.56,0,0.19,2
15.353663000000001,3.49,0,0.24,1
14.399270999999999,3.58,0,0.23,0
8.506133,2.48,26.38,-0.25,2
11.156195,2.18,25.61,0.15,2
22.164129,3.71,50,0.28,0
18.2817,4,52.44,0.22,0
13.500476,2.97,42.63,0.25,1
13.713594,2.26,15.32,0.29,1
13.713594,2.24,14.02,0.18,0
12.045722,2.2,15.77,0.1,1
12.351500999999999,1.84,15.57,0.19,1
11.759736,1.61,15.21,0.28,1
12.732642,1.63,14.19,0.13,1
13.363154000000002,1.73,15.52,0.16,1
14.416259,2.03,16.23,0.2,1
14.732569,2.04,20.1,0.25,2
17.852715,2.16,23.5,0.24,1
17.040604000000002,2.51,22.02,0.22,1
17.859737,2.32,20.29,0.31,2
20.001425,2.55,19.37,0.35,1
21.61694,2.65,18.99,0.24,0
18.888985,2.48,18.77,0.05,2
27.956020000000002,3.09,25.2,0.44,1
28.890434000000003,3.64,27.96,0.34,2
35.626102,3.77,29.07,0.33,2
56.28658299999999,5.83,39.51,0.4,2
70.73391,7.67,42.53,0.83,2
109.524948,9.44,49.08,0.95,1
106.294151,11.05,43.05,0.79,2
162.153549,13.2,45.83,0.92,2
